id,How many years of software engineering experience do you have? ,What is your current role ?,"On average, how many configuration options does your typical application have (application-specific) or use (3rd party library)? ",Do you have personal experience with creating new configuration options?,Where do you store your configuration options?,How do you access this configuration storage in the code?,How are the values of application-specific configuration options available in the code?,From where do you read your configuration options?,What is the most frequent profile of people adding new configuration options? ,Why?,Is the creation of configuration options planned beforehand?,How do you decide configuration default values?,How do you communicate newly created options and their possible values to the team ? ,Do you use any naming conventions to ensure a coherence between configuration option names?,How often do you face configuration errors? ,How difficult is it to debug an error which is due to a misconfigured option?,What artefacts do you use to fix a configuration error?,Where do you document configuration-related errors and their solutions? ,Are you always aware of the impact of changing one of the application-specific configuration options?,Which artefacts do you use to understand application-specific configuration parameters? ,Do the names or the default values of your application-specific configuration options change across time?,What do you do with dead configuration options that are no longer useful? ,How would you rate the quality of the documentation (text documents or online documentation) of application-specific configuration options in the systems you participated in their developments ?  ,How would you rate the quality of the comments of configuration options (used within configuration files to explain the meaning and possible values of options)? ,Please explain the factors that lead to that quality (your previous two answers) of comments and documentation ,Do you consider configuration options during code review? ,Which techniques do you use to assure the quality of configuration options?,What could reduce the most the complexity of the configuration of a software project?,Could you describe some important problems related to configuration (in terms of creation/management/maintenance or any other theme) that you faced during your current and/or previous experiences and how did you fix them ? ,What could you suggest as 3 good practices and 3 bad practices to a new development team in order to have a good configuration quality and to avoid configuration problems?
11,3,Academic,"100<#<1,000",Yes,.xml file;.yml,Via a 3rd party framework dedicated to configuration,As attributes/variables with the same name of its associated configuration option;Some config options are essentially human-friendly serialization of objects,We read configuration options in different places in the code,Any developer,The application is about reading and interpreting large configurations.,"Yes, they are defined in the architecture specifications",Architectural specifications.;Ad hoc choices. It is up to the developer to decide.,Chat support (like Slack or Hangout);Via Wiki or a web platform;Pull Request,"Yes. We do have a naming convention, but not all the developers respect it.",Often,1,Log file;Error message;Stack Trace,In a Wiki;In a Bug report (like Bugzilla),"Yes, I know the impact of the majority of configuration options.",Documentation.,"No, they are almost stable","Remove them from the configuration files, and do not store them anywhere.",3,3,Usually user issues,"Yes, we review both functional and technical configuration options.",Default values are backed-up in a database to easily roll back.,Use a separate software to manage configuration options.,"Generally configuration problems show up when a user uses an arcane configuration not thought of by developers. The issue is fixed on a case-by-case basis, usually by adding a check in the code.",2017/04/12 5:59:53 PM UTC+1
12,45,Developer,<10,Yes,"Various, but mostly the application manifest","at this point, manually switch configurations","not sure, the build system handles it","n/a, manually change options at this point in dev",Any developer,this is my experience,"some planned (paid/free app), others added as I learn more dev",Making tests until finding the optimal value for a parameter.,"at this point, I am the team","Yes. We do have a naming convention, but not all the developers respect it.",Sometimes,3,Log file;Error message;Documentation;Debug the code;Google the error,GitHub,"Yes, I know the impact of few configuration options.",Documentation.;I Google configuration names.;trial and error,"No, they are almost stable","various, still evolving",3,3,constant change of versions,"Yes, we review both functional and technical configuration options.","Test different configuration values;constantly test, because version changes alter syntax and behaviour","Cheatsheets, because this is something done rarely, and easy to forget how",Problem: Documentation goes out of date with version updates. Fix: Dig deep and hack till it works,"Good: 1.) Try to think ahead what configuration options you'll need; 2.) Keep track of what you did; 3.) Test, test, test. Bad: 1.) Blindly trust the documentation; 2.) Expect things to go quickly; 3.) Rush and don't test."
13,10,Academic,10<#<100,Yes,Not persistent,Not persistent,Via method/function accessors (for example getMyOption),We read configuration options from a specific class/module,Any developer,Why not,"No planning, options are added ad hoc",Ad hoc choices. It is up to the developer to decide.,Chat support (like Slack or Hangout);Pull Request,"Yes. We do have a naming convention, and all the developers respect it.",Sometimes,2,Log file;Error message;Stack Trace,In a Wiki,"Yes, I know the impact of all the configuration options.",Documentation.,"Yes, they change but not frequently","Remove them from the configuration files, and do not store them anywhere.",4,4,Good developers,"Yes, but we review only technical configuration options.",We have tools to check correctness of the values,Reduce the number of configuration options.,Dependencies and invalid config states. Static analysis,Take care.
14,27,Academic,No options,No,".ini files;In a table within the database used for the application;Environment variables (e.g., Bash);Application main arguments",Via dedicated classes/functions that we developed for configuration access,As attributes/variables with the same name of its associated configuration option;From tables and/or maps containing configuration options and values,We read configuration options from a specific class/module,Certain expert developers,"Configuration options are infrequent and sparsely occurring, leads do them.","mixture, duh",Discussion between developers and architects.;Making tests until finding the optimal value for a parameter.;Ad hoc choices. It is up to the developer to decide.,By mail;Textual documentation,"Yes. We do have a naming convention, but not all the developers respect it.",Sometimes,2,Error message;Documentation;Debug the code,In the commit message;In a Bug report (like Bugzilla),"Yes, I know the impact of the majority of configuration options.",Documentation.;Configuration option comments.;Configuration name is clear enough to be understood.;I understand configuration options from the source code,"Yes, they change but not frequently",Just Comment them in the configuration file.,3,3,"It is under-documented unless/until it is made someone's priority, or bites someone.",We do not review configuration options at all. We only review code.,Test different configuration values,Reduce the number of configuration files.;Comment and document configuration options.;Reduce the number of configuration options.;Planning ahead the creation of options.,Many desirable libraries are present in some but not all target machines. Decision to use them needs to be deferred from link time to load time.,Users do not really want to have to configure much. System should recognize and adjust to its environment.
15,6,Developer,<10,Yes,".json file;Environment variables (e.g., Bash);Application main arguments",Via an IO library to read the configuration storage.,As attributes/variables with the same name of its associated configuration option;From tables and/or maps containing configuration options and values,We read configuration options from a specific class/module,Any developer,"We're a small shop, we have no architects","No planning, options are added ad hoc",Discussion between developers and architects.,Orally,"Yes. We do have a naming convention, and all the developers respect it.",Sometimes,1,Log file;Stack Trace,In the commit message;In a Bug report (like Bugzilla);Nowhere,"Yes, I know the impact of all the configuration options.",Documentation.;Ask a colleague,"Yes, they change but not frequently","Remove them from the configuration files, and do not store them anywhere.",2,2,Lack of time,"Yes, we review both functional and technical configuration options.",Test different configuration values,Reduce the number of configuration files.,A general problem is that it's easy to add them without much thought,Keep the number of options minimal
16,17,Sysadmin,<10,Yes,".ini files;Environment variables (e.g., Bash);Application main arguments",Via an IO library to read the configuration storage.;Via dedicated classes/functions that we developed for configuration access,There is no clear mapping between options and code,We read configuration options in different places in the code,Any developer,its organic,"No, they are juste extracted from hardcoded constants;No planning, options are added ad hoc",Ad hoc choices. It is up to the developer to decide.,Via Wiki or a web platform;Textual documentation,"Yes. We do have a naming convention, but not all the developers respect it.",Sometimes,4,Log file;Error message;Documentation;Debug the code;Google the error;Stack Trace,Nowhere,"Yes, I know the impact of few configuration options.",Documentation.;Ask a colleague,"Yes, they change but not frequently","Remove them from the configuration files, and do not store them anywhere.",4,4,many hands make light work,We do not review configuration options nor source code.,none,Reduce the number of configuration files.;Reduce the configuration option dependencies;Comment and document configuration options.,Config files listing listing defaults values. Also config files build from code.,"good code review, good config files from code, good config file formats"
17,5,Developer,10<#<100,Yes,".properties file;.xml file;Environment variables (e.g., Bash)",Via a 3rd party framework dedicated to configuration,As attributes/variables with the same name of its associated configuration option;Via method/function accessors (for example getMyOption),We read configuration options from a specific class/module,Only architects,Because they know the architecture,"Yes, they are defined in the architecture specifications",Making tests until finding the optimal value for a parameter.,Orally;Textual documentation,"Yes. We do have a naming convention, but not all the developers respect it.",Sometimes,2,Log file;Error message;Documentation;Stack Trace;Automatic tool to find misconfigured options,In a Wiki;In text document,"Yes, I know the impact of the majority of configuration options.",Documentation.;Ask a colleague;I understand configuration options from the source code,"Yes, they change but not frequently",Just Comment them in the configuration file.,3,2,quick development,"Yes, we review both functional and technical configuration options.",Test different configuration values,Comment and document configuration options.;Reduce the number of configuration options.,no validation,keep the number low
18,10,Developer,"100<#<1,000",Yes,".properties file;.xml file;.json file;In a table within the database used for the application;Environment variables (e.g., Bash);Application main arguments",Via an IO library to read the configuration storage.;Via a 3rd party framework dedicated to configuration;Via dedicated classes/functions that we developed for configuration access,As attributes/variables with the same name of its associated configuration option;From tables and/or maps containing configuration options and values,We read configuration options from a specific class/module,Any developer,In my projects I usually tend to make the code as much configurable as it is possible. Sometimes we use it for disabling/enabling functionality after the release if we're not sure if it will work fine for everyone,"No, they are juste extracted from hardcoded constants;No planning, options are added ad hoc",Discussion between developers and architects.;Ad hoc choices. It is up to the developer to decide.,Via Wiki or a web platform;Pull Request,"Yes. We do have a naming convention, and all the developers respect it.",Often,2,Log file;Debug the code;Automatic tool to find misconfigured options,Nowhere,"Yes, I know the impact of the majority of configuration options.",Configuration name is clear enough to be understood.;I understand configuration options from the source code,"No, they are almost stable","Remove them from the configuration files, and do not store them anywhere.",1,2,We're trying to keep self-explanatory configuration property names and add comments only if it is necessary,"Yes, we review both functional and technical configuration options.",Test different configuration values,Allow only experienced people to modify configuration files.;Reduce the configuration option dependencies;Use a separate software to manage configuration options.,"Some configuration can be stored in the VCS together with the code while some cannot be stored be stored and should be kept secret (like password for the database). Also for some of configuration we need live reload without server restart (say via database) and some of it should depend on the environment. As a result we have to maintain multiple sources of the configuration, merge them and expose to the application via unified API","Bad practices: 
1) Do not write your own tool for configuration management (use TypeSafe Config, Hashicorp Vault, Spring Clound Config, e.t.c)
2) Do not rely on default values everywhere (like if thread pool is not specified in the config I'll use 10)
3) Do not store passwords and other sensitive parts of configuration in VCS
Good practices:
1) Write tests for your configuration, i.e. simulate different environments and validate that all properties are set, e.t.c.
2) Make configuration convenient so developers would easily maintain it and add new properties. Configurable code can save you from a patch release and make life easier
3) Add a way to troubleshoot configuration issues on running servers, for example expose a REST service which will return configuration value by their keys. Think of masking sensitive data and securing it in production"
19,15,Developer,10<#<100,Yes,Application main arguments,Via dedicated classes/functions that we developed for configuration access,From tables and/or maps containing configuration options and values,We read configuration options from a specific class/module,Any developer,To satisfy feature requests,"No planning, options are added ad hoc",Ad hoc choices. It is up to the developer to decide.,Orally;Chat support (like Slack or Hangout);By mail,No. We do not have any configuration options naming convention.,Sometimes,1,Log file;Error message;Debug the code,In the commit message,"Yes, I know the impact of all the configuration options.",Configuration option comments.;Configuration name is clear enough to be understood.;I understand configuration options from the source code,"No, they are almost stable","Remove them from the configuration files, and do not store them anywhere.",3,5,A text document makes it easier to add and update comments on configuration values,We do not review configuration options nor source code.,Test different configuration values,Allow only experienced people to modify configuration files.;Reduce the configuration option dependencies;Comment and document configuration options.;Reduce the number of configuration options.;Planning ahead the creation of options.,One of the big problems I've had in the past is configuration options that were not being used (e.g. they were misnamed). The tool gave no indication that some lines in the configuration were not being used at all. A better tool would warn about this.,"Good 1. Document 2. Discuss 3. Plan, Bad 1. Conflicting options, 2. Poorly named options, 3. Stale options"
20,9,Developer,10<#<100,Yes,"Environment variables (e.g., Bash);typesafehub/config HOCON format",Via a 3rd party framework dedicated to configuration,As attributes/variables with the same name of its associated configuration option,We read configuration options in different places in the code,Architects and developers,No concrete reason for,"No, they are juste extracted from hardcoded constants;No planning, options are added ad hoc","default configuration should run out-of-the-box, with minimal resources using","typesafehub/config has really good, pragmatic practice to store reference.conf in a project sources https://github.com/typesafehub/config#how-to-handle-defaults","Yes. We do have a naming convention, but not all the developers respect it.",Sometimes,1,Error message;Stack Trace;Automatic tool to find misconfigured options,"typesafehub/config provides type safety, but business logic checks written in appication with preconditions and inline error messages","Yes, I know the impact of the majority of configuration options.",Configuration option comments.;Configuration name is clear enough to be understood.;I understand configuration options from the source code,"No, they are almost stable","remove from reference.conf, user can update their application.conf himself",3,5,"online documentation often is outdated, but in source code docs are always up to date",We do not review configuration options at all. We only review code.,We have tools to check correctness of the values;Test different configuration values;Using containers (like Docker) to limit the impact of configuration options.,Reduce the number of configuration files.;Reduce the configuration option dependencies;Comment and document configuration options.;Reduce the number of configuration options.,"I did not have any really matter problems on recent projects, because config was so simple as at possible, typesafehub/config rocks!
At one project, we using distributed config service in db, but sometimes mysql was down due to network issues. App was written in php, and checks mysql for latest settings, and when it was down, users seen 500 Internal Error on our site. We extract config to typical ini file, at sync it asynchronously from db - it looks like just a cache of latest settings, and db downtime does not affect primary app.","good:
- reference configuration in source
- no default values in code
- config type safety
bad:
- write new configuration framework
- complexity, dependencies, no transparency of side effects
- a lot of configuration options
- different types of config files
"
21,12,Developer,10<#<100,Yes,.json file;In a table within the database used for the application,Via dedicated classes/functions that we developed for configuration access,As attributes/variables with the same name of its associated configuration option,We read configuration options in different places in the code,Architects and developers,"Users (when specifying) often do not see the opportunity for options - developers do, especially when writing their own tests. ","Yes, they are defined in the client specifications;Yes, they are defined in the architecture specifications;In addition to those specified, a developer may add their own, provided default values enable the system to operate unchanged",Client requirements.;Architectural specifications.;Discussion between developers and architects.;Ad hoc choices. It is up to the developer to decide.,Textual documentation,"Yes. We do have a naming convention, and all the developers respect it.",Sometimes,2,Debug the code;Automatic tool to find misconfigured options;We try to make configuration validation sufficeintly comprehensive to trap most errors - this applies mostly to  a siutation where values of multiple options are related in some way,In the commit message;In a Bug report (like Bugzilla);In text document,"Yes, I know the impact of the majority of configuration options.",Documentation.;Configuration option comments.;Testing,"Yes, they change but not frequently",Deprecate then remove over time,2,2,"All the things which lead to poor documentation at any time - lack of standards, lack of time or developers just being too close to the code to realise others may not find them as self evident as expected","Yes, we review both functional and technical configuration options.",Test different configuration values;Using containers (like Docker) to limit the impact of configuration options.,"Use a separate software to manage configuration options.;Reducing complexity of configuration may simply increase the complexity of code.  I treat them as part of the application design, and test them as such",Experiences of scattered and undocumented configuration options led to the development of the Options capability of what was originally called V7 and now called Krail.  The idea was to solve a lot of the commonly faced issues - Options may eventually become a standalone library,My configuration options are obvious
22,17,Developer,10<#<100,Yes,".xml file;The configuration stores are managed by JetBrains' OpenAPI, but most are in xml files in the project directory, but I don't have to care that they are in XML",Via a 3rd party framework dedicated to configuration,Via method/function accessors (for example getMyOption),We read configuration options from a specific class/module,Any developer,"Most of the work is mimicing other plugins, so we add them as needed to maintain consistency","No planning, options are added ad hoc;Usually options are only added when users complain they don't like something always on","Ad hoc choices. It is up to the developer to decide.;My personal preference until enough users open bugs disagreeing with the default, then it's usually flipped","Textual documentation;Pull Request;Like all changes, they go in the CHANGELOG.md and plugin.xml changes list",No. We do not have any configuration options naming convention.,Sometimes,2,Error message,In the commit message;Changelogs,"Yes, I know the impact of the majority of configuration options.",Documentation.;I understand configuration options from the source code,"Yes, they change but not frequently","Remove them from the configuration files, and do not store them anywhere.",5,5,README covers exact steps to change configuration from GUI.,"Yes, we review both functional and technical configuration options.","All configuration is assumed to be done through the GUI by the user, so any ""value"" are checked by the GUI validation code",Have developers not want their IDEs so configurable,Different parts of the user base wanting a feature on or off by default and then once off by default having new users not know the feature even exists.,Have any optional features off by default because eventually some part of your user base will want it off.
23,14,Developer,10<#<100,Yes,.conf files (Typesafe Config),Typesafe Config library,As attributes/variables with the same name of its associated configuration option,We read configuration options from a specific class/module,Any developer,New configuration options are added as needed,"Yes, they are defined in the architecture specifications",No default values,Textual documentation,"Yes. We do have a naming convention, and all the developers respect it.",Sometimes,1,Error message,Nowhere,"Yes, I know the impact of all the configuration options.",Documentation.;Configuration option comments.;Configuration name is clear enough to be understood.;I understand configuration options from the source code,"No, they are almost stable","Remove them from the configuration files, and do not store them anywhere.",3,4,"For the open source projects, the documentation could be better. It's a question of time and resources.","Yes, we review both functional and technical configuration options.",Test different configuration values,Reduce the number of configuration files.;Reduce the configuration option dependencies;Comment and document configuration options.;Reduce the number of configuration options.;Planning ahead the creation of options.,"Something that has historically often came up as a bit of an afterthough is updating configuration options for a running process without a restart. These days configuration management daemons, such as Consul or etcd, tend to lead the application design into right direction from the very beginning with the idea of fetching the configuration from the daemon instead of, say, reading a file. This mechanism is often easier to to expand to handle e.g. periodic polling of configuration options.","Good:
1. Check all configuration options at application startup.
2. Try to be consistent in configuration option naming and typing.
3. Use configuration option hierarchy if available (e.g. ""server.port"").
Bad:
1. Only check a configuration option when it is used the first time. (This can be a long time after the application was initially started.)
2. Split related configuration options across many different sources (e.g. files).
3. Provide neither defaults for configuration options nor example configuration files."
